Index,Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2),Mag_X (gauss),Mag_Y (gauss),Mag_Z (gauss),Gyro_X (rad/s),Gyro_Y (rad/s),Gyro_Z (rad/s),Temperature (C)
245,-9.299705034899999,5.79721095415,3.3798619224999995,0.02842,-0.24878000000000003,-0.13356,1.3533719352277032,1.1585059242425364,-0.3732386605389874,22.5
246,-4.8478585876,5.13200627135,2.5914268758,0.023100000000000002,-0.21042000000000002,-0.27972,1.4621059476269498,5.003444449770395,5.003444449770395,22.5
247,4.7581277401,4.6211386462499995,7.202396026,0.1799,-0.15302000000000002,-0.5065200000000001,0.7841982495367023,5.003444449770395,2.4315490806472004,22.5
248,10.689934965499997,3.2793633732999994,5.925226963249999,0.40362000000000003,-0.12446,-0.5882800000000001,2.0005836550985006,3.4735324607034648,0.935081963371612,22.5
249,9.2398844699,3.8105699904999994,6.445665878749999,0.45654,0.0007000000000000001,-0.63644,4.202294689873698,-0.5639813311663178,-1.1927143775816251,22.5
250,5.3096733494,-2.6739792555,5.8707902491,0.3395000000000001,0.25354000000000004,-0.67536,4.01674437377105,-1.9219347556805058,-1.8454238845962045,22.5
251,0.9487541609,-6.28534676455,4.8155554825,0.12754000000000001,0.44058,-0.59724,2.789210677612138,-1.8144224737576553,-1.1789699097221698,22.5
252,1.2191431146999998,-12.003594572899999,3.08494653705,-0.011620000000000002,0.5408200000000001,-0.5171600000000001,0.4338670354301405,-0.992045146833577,-1.7082846386207502,22.5
253,1.3962119870999998,-11.324631160149998,3.9421752335,-0.14518,0.49210000000000004,-0.38934,0.2296853295624538,-2.059837583203708,-1.7644842405349674,22.5
254,-5.193023247649999,-6.98405096375,4.555934230399999,-0.19782000000000002,0.35434000000000004,-0.23044000000000003,-1.3107640848633915,-1.0882564218497643,-2.9260444909684935,22.5
255,-8.24985411915,-2.1714865095,3.3439695835,-0.19334000000000004,0.16758,-0.17234,-3.297145123173788,-0.712879732977084,-5.004208031318142,22.5
256,-10.1168539528,1.4793625724500001,3.4917263790499997,-0.13678,-0.028700000000000003,-0.11970000000000001,-2.902984328226519,1.0276280469586114,-1.71760033350327,21.5
257,-4.6707897152,6.859025982899999,4.5415772948,-0.07406,-0.13678,-0.19250000000000003,-0.04260785036431157,4.4938301248037,1.6224580726539288,22.5
258,4.31007170825,0.9708877699499999,10.225129175449998,0.058100000000000006,-0.0791,-0.4872,0.5448917924726298,5.003444449770395,2.606409255081382,22.5
259,6.8787667693499985,0.9708877699499999,7.378866692749999,0.3269,-0.014420000000000002,-0.6463800000000001,3.078455367898899,2.6604708286619063,-0.0003054326190990077,22.5
260,7.6462646183,-4.9160540317,5.181657340299998,0.38626000000000005,0.24654,-0.6727000000000001,4.183357867489559,-1.1992811788922537,-2.3622158761117253,22.5
261,-0.98045906035,-6.4677994878,3.4947174072999996,0.06426000000000001,0.33082000000000006,-0.58758,0.6858489461868217,-1.614669540866904,-4.527274996595041,22.5
262,-5.0464628634,-0.44027935839999993,5.766702466,-0.0707,0.07882,-0.45500000000000007,-5.004208031318142,-5.002070002984449,-5.004208031318142,22.5
263,-10.265807159649999,7.418946471299999,3.2321051269499996,-0.033460000000000004,-0.22414,-0.17668,0.9072875950336025,-0.8567384965727166,0.5820018556931592,22.5
264,-6.9924258428499995,-0.19740786449999997,7.76530754265,-0.08330000000000001,-0.07322000000000001,-0.3304,1.4755449828673062,5.003444449770395,5.003444449770395,22.5
265,5.323432079349999,-0.29252256285,6.388836342,0.25746,0.03626000000000001,-0.62944,-0.14172073526193957,5.003444449770395,3.8876990922017196,22.5
266,10.660024682999998,-3.1028927065499996,5.933003636699999,0.49658,0.060340000000000005,-0.6550600000000001,1.9775234923565252,0.32131511529215606,-1.0218248271957302,22.5
267,5.542375347249999,-3.56231464575,7.5804619967999995,0.37870000000000004,0.12250000000000001,-0.66178,-0.336739462556656,-4.397771566097062,-2.5126414410179865,22.5
268,0.15852449724999998,-0.024526431649999996,7.70429056635,0.11018,0.06678,-0.5940200000000001,-3.0108020427684683,-5.004208031318142,0.1831068551498551,22.5
269,-5.52442917775,-1.3543375915999998,5.669194945049999,-0.1029,0.035980000000000005,-0.37842000000000003,-0.16539176324211266,-4.119369733788317,0.02489275845656913,22.5
270,-11.66680479195,-1.3896317249499999,4.1898323726,-0.16898000000000002,0.04102,-0.18606000000000003,-0.95111717587431,-1.5572482084762909,-0.7093672578574454,22.5
271,-6.22791902215,3.5449666818999996,-5.0739803233,-0.16338000000000003,0.027300000000000005,-0.07616,-5.004208031318142,5.003444449770395,1.4695890467948753,22.5
272,-3.79441843795,3.67956295315,9.94397251995,-0.11858000000000002,-0.014420000000000002,-0.24892,-2.3721424362324433,2.603049496271293,-1.290910964621956,22.5
273,-2.9270202454499996,5.231906614899999,8.501100492149998,-0.06874000000000001,-0.06762,-0.29372000000000004,-0.39813141899555654,-0.43401975173968993,-0.4065308160207793,22.5
274,-7.591827904149999,7.198806792099999,2.08953233545,-0.09758000000000001,-0.06846000000000001,-0.24626,-3.69054233657331,1.931250450563026,-4.171751427963797,22.5
275,-3.5676984965999994,9.0520478958,4.0869410008,-0.015540000000000002,-0.12586000000000003,-0.38486000000000004,-0.39904771685285356,5.003444449770395,2.822808265713029,22.5
276,5.288137946,8.74516839735,3.21535536875,0.30506,-0.17262,-0.5868800000000001,0.3087923779090968,5.003444449770395,0.6624833508257477,22.5
277,10.950752628899998,4.466801588549999,4.25862602235,0.5349400000000001,-0.20146,-0.61516,1.5540411659757511,2.871982917387969,-2.589457744721387,22.5
278,11.268998034699997,2.7852455064000003,4.625326085799999,0.6265000000000002,-0.0441,-0.6815200000000001,1.2580769580688127,-2.0036379812894904,-1.9584339536628372,22.5
279,12.125628525499998,5.74097962305,1.24606236895,0.36274,0.15806,-0.7281400000000001,-0.17547103967237992,-4.57385347100764,-5.004208031318142,22.5
280,1.1653046061999999,-4.59122836375,4.95852663285,-0.08526,0.1323,-0.47712000000000004,-5.004208031318142,-5.004208031318142,-4.565148641363319,22.5
281,-17.448462399199997,4.901098890449999,-2.129612114,-0.09674,-0.11606000000000001,-0.04592,-5.004208031318142,2.595719113412917,-2.5434901355469868,22.5
