Timestamp,Mag_X (Gauss),Mag_Y (Gauss),Mag_Z (Gauss)
1745674199.2489955,0.43050000000000005,0.27846000000000004,-0.35756000000000004
1745674199.2510107,0.43050000000000005,0.27846000000000004,-0.35756000000000004
1745674199.2529874,0.43050000000000005,0.27846000000000004,-0.35756000000000004
1745674199.254952,0.43050000000000005,0.27846000000000004,-0.35756000000000004
1745674199.256914,0.43050000000000005,0.27846000000000004,-0.35756000000000004
1745674199.258874,0.43050000000000005,0.27846000000000004,-0.35756000000000004
1745674199.260834,0.43050000000000005,0.27846000000000004,-0.35756000000000004
1745674199.262812,0.43050000000000005,0.27846000000000004,-0.35756000000000004
1745674199.264792,0.43050000000000005,0.27846000000000004,-0.35756000000000004
1745674199.2667549,0.43050000000000005,0.27846000000000004,-0.35756000000000004
1745674199.268719,0.43050000000000005,0.27846000000000004,-0.35756000000000004
1745674199.270696,0.43050000000000005,0.27846000000000004,-0.35756000000000004
1745674199.2726562,0.43050000000000005,0.27846000000000004,-0.35756000000000004
1745674199.274619,0.43218000000000006,0.27706000000000003,-0.35518
1745674199.2765994,0.43218000000000006,0.27706000000000003,-0.35518
1745674199.2786243,0.43218000000000006,0.27706000000000003,-0.35518
1745674199.2806163,0.43218000000000006,0.27706000000000003,-0.35518
1745674199.282585,0.43218000000000006,0.27706000000000003,-0.35518
1745674199.2845926,0.43218000000000006,0.27706000000000003,-0.35518
1745674199.2866316,0.43218000000000006,0.27706000000000003,-0.35518
1745674199.2886817,0.43218000000000006,0.27706000000000003,-0.35518
1745674199.2907116,0.43218000000000006,0.27706000000000003,-0.35518
1745674199.2928703,0.43218000000000006,0.27706000000000003,-0.35518
1745674199.2986007,0.43218000000000006,0.27706000000000003,-0.35518
1745674199.3006878,0.43358,0.27622,-0.36414
1745674199.302693,0.43358,0.27622,-0.36414
1745674199.30466,0.43358,0.27622,-0.36414
1745674199.30662,0.43358,0.27622,-0.36414
1745674199.3086436,0.43358,0.27622,-0.36414
1745674199.31062,0.43358,0.27622,-0.36414
1745674199.3125906,0.43358,0.27622,-0.36414
1745674199.314567,0.43358,0.27622,-0.36414
1745674199.3165407,0.43358,0.27622,-0.36414
1745674199.3185124,0.43358,0.27622,-0.36414
1745674199.3205745,0.43358,0.27622,-0.36414
1745674199.322564,0.43358,0.27622,-0.36414
1745674199.3245685,0.43358,0.27622,-0.36414
1745674199.326667,0.43050000000000005,0.27426000000000006,-0.36274
1745674199.3286686,0.43050000000000005,0.27426000000000006,-0.36274
1745674199.3306549,0.43050000000000005,0.27426000000000006,-0.36274
1745674199.3326275,0.43050000000000005,0.27426000000000006,-0.36274
1745674199.334584,0.43050000000000005,0.27426000000000006,-0.36274
1745674199.3365388,0.43050000000000005,0.27426000000000006,-0.36274
1745674199.3385036,0.43050000000000005,0.27426000000000006,-0.36274
1745674199.340533,0.43050000000000005,0.27426000000000006,-0.36274
1745674199.342515,0.43050000000000005,0.27426000000000006,-0.36274
1745674199.3444793,0.43050000000000005,0.27426000000000006,-0.36274
1745674199.3464594,0.43050000000000005,0.27426000000000006,-0.36274
1745674199.348429,0.43050000000000005,0.27426000000000006,-0.36274
